TíTULO	ARTISTA	COLOR	ORDEN	ETIQUETAS	TONALIDAD	TONO INICIAL	MéTRICA	TEMPO	DURACIóN	NúMERO DE CANCIóN MIDI	NUM. DE PROGRAMA MIDI	DOCUMENTOS	GRABACIONES	PRESETS MIDI	LETRAS	LETRAS (HTML)	ACORDES	ACORDES (HTML)	COMENTARIOS	COMENTARIOS (HTML)	EJECUTADA POR ULTIMA VEZ	ACTIVA	AñADIDA
																						Si	
500 Miles	The Proclaimers							132	3:50						When I wake up\nWell, I know I'm gonna be\nI'm gonna be the man who wakes up next to you\nWhen I go out\nYeah, I know I'm gonna be\nI'm gonna be the man who goes along with you\n\nIf I get drunk\nWell, I know I'm gonna be\nI'm gonna be the man who gets drunk next to you\nAnd if I haver\nYeah, I know I'm gonna be\nI'm gonna be the man who's haverin' to you\n\nBut I would walk five hundred miles\nAnd I would walk five hundred more\nJust to be the man who walked a thousand miles\nTo fall down at your door\n\nWhen I'm workin'\nYes, I know I'm gonna be\nI'm gonna be the man who's workin' hard for you\nAnd when the money\nComes in for the work I do\nI'll pass almost every penny on to you\n\nWhen I come home (when I come home)\nOh, I know I'm gonna be\nI'm gonna be the man who comes back home to you\nAnd if I grow old\nWell, I know I'm gonna be\nI'm gonna be the man who's growin' old with you\n\nBut I would walk five hundred miles\nAnd I would walk five hundred more\nJust to be the man who walked a thousand miles\nTo fall down at your door\n\nDa-da-da-da (da-da-da-da)\nDa-da-da-da (da-da-da-da)\nDa-da-dum-diddy-dum-diddy-dum-diddy-da-da-da\nDa-da-da-da (da-da-da-da)\nDa-da-da-da (da-da-da-da)\nDa-da-dum-diddy-dum-diddy-dum-diddy-da-da-da\n\nWhen I'm lonely\nWell, I know I'm gonna be\nI'm gonna be the man who's lonely without you\nAnd when I'm dreamin'\nWell, I know I'm gonna dream\nI'm gonna dream about the time when I'm with you\n\nWhen I go out (when I go out)\nWell, I know I'm gonna be\nI'm gonna be the man who goes along with you\nAnd when I come home (when I come home)\nYes, I know I'm gonna be\nI'm gonna be the man who comes back home with you\nI'm gonna be the man who's comin' home with you\n\nBut I would walk five hundred miles\nAnd I would walk five hundred more\nJust to be the man who walked a thousand miles\nTo fall down at your door\n\nDa-da-da-da (da-da-da-da)\nDa-da-da-da (da-da-da-da)\nDa-da-dum-diddy-dum-diddy-dum-diddy-da-da-da\nDa-da-da-da (da-da-da-da)\nDa-da-da-da (da-da-da-da)\nDa-da-dum-diddy-dum-diddy-dum-diddy-da-da-da\n\nDa-da-da-da (da-da-da-da)\nDa-da-da-da (da-da-da-da)\nDa-da-dum-diddy-dum-diddy-dum-diddy-da-da-da\nDa-da-da-da (da-da-da-da)\nDa-da-da-da (da-da-da-da)\nDa-da-dum-diddy-dum-diddy-dum-diddy-da-da-da\n\nAnd I would walk five hundred miles\nAnd I would walk five hundred more\nJust to be the man who walked a thousand miles\nTo fall down at your door	<p><span style="color: #F0BE03;">When I wake up</span><br /><span style="color: #F0BE03;">Well, I know I'm gonna be</span><br /><span style="color: #F0BE03;">I'm gonna be the man who wakes up next to you</span><br /><span style="color: #F0BE03;">When I go out</span><br /><span style="color: #F0BE03;">Yeah, I know I'm gonna be</span><br /><span style="color: #F0BE03;">I'm gonna be the man who goes along with you</span></p><p>If I get drunk<br />Well, I know I'm gonna be<br />I'm gonna be the man who gets drunk next to you<br />And if I haver<br />Yeah, I know I'm gonna be<br />I'm gonna be the man who's haverin' to you<br /><span style="color: #51D43E;"><br />But I would walk five hundred miles</span><br /><span style="color: #51D43E;">And I would walk five hundred more</span><br /><span style="color: #51D43E;">Just to be the man who walked a thousand miles</span><br /><span style="color: #51D43E;">To fall down at your door</span></p><p>When I'm workin'<br />Yes, I know I'm gonna be<br />I'm gonna be the man who's workin' hard for you<br />And when the money<br />Comes in for the work I do<br />I'll pass almost every penny on to you</p><p>When I come home (when I come home)<br />Oh, I know I'm gonna be<br />I'm gonna be the man who comes back home to you<br />And if I grow old<br />Well, I know I'm gonna be<br />I'm gonna be the man who's growin' old with you</p><p><span style="color: #51D43E;">But I would walk five hundred miles</span><br /><span style="color: #51D43E;">And I would walk five hundred more</span><br /><span style="color: #51D43E;">Just to be the man who walked a thousand miles</span><br /><span style="color: #51D43E;">To fall down at your door</span></p><p>Da-da-da-da (da-da-da-da)<br />Da-da-da-da (da-da-da-da)<br />Da-da-dum-diddy-dum-diddy-dum-diddy-da-da-da<br />Da-da-da-da (da-da-da-da)<br />Da-da-da-da (da-da-da-da)<br />Da-da-dum-diddy-dum-diddy-dum-diddy-da-da-da</p><p>When I'm lonely<br />Well, I know I'm gonna be<br />I'm gonna be the man who's lonely without you<br />And when I'm dreamin'<br />Well, I know I'm gonna dream<br />I'm gonna dream about the time when I'm with you</p><p>When I go out (when I go out)<br />Well, I know I'm gonna be<br />I'm gonna be the man who goes along with you<br />And when I come home (when I come home)<br />Yes, I know I'm gonna be<br />I'm gonna be the man who comes back home with you<br />I'm gonna be the man<span style="color: #F68B27;"> </span>who's comin' home with you</p><p><span style="color: #51D43E;">But I would walk five hundred miles</span><br /><span style="color: #51D43E;">And I would walk five hundred more</span><br /><span style="color: #51D43E;">Just to be the man who walked a thousand miles</span><br /><span style="color: #51D43E;">To fall down at your door</span></p><p>Da-da-da-da (da-da-da-da)<br />Da-da-da-da (da-da-da-da)<br />Da-da-dum-diddy-dum-diddy-dum-diddy-da-da-da<br />Da-da-da-da (da-da-da-da)<br />Da-da-da-da (da-da-da-da)<br />Da-da-dum-diddy-dum-diddy-dum-diddy-da-da-da</p><p>Da-da-da-da (da-da-da-da)<br />Da-da-da-da (da-da-da-da)<br />Da-da-dum-diddy-dum-diddy-dum-diddy-da-da-da<br />Da-da-da-da (da-da-da-da)<br />Da-da-da-da (da-da-da-da)<br />Da-da-dum-diddy-dum-diddy-dum-diddy-da-da-da</p><p>And I would walk five hundred miles<br />And I would walk five hundred more<br />Just to be the man who walked a thousand miles<br />To fall down at your door</p>						Si	2025-01-22 11:10:13
A Hard Day's Night	The Beatles							141	2:34			hards-day-beatles.jpg			\n\nIt's been a hard day's night\nAnd I've been workin' like a dog\nIt's been a hard day's night\nI should be sleepin' like a log\n\nBut when I get home to you\nI find the things that you do\nYou make me feel alright\n\nYou know I work all day\nTo get your money to buy your things\nAnd it's worth it just to hear you say\nYou're gonna give me everything\n\nSo why on Earth should I moan?\n'Cause when I get you alone\nYou know I feel okay\n\nWhen I'm home\nEverything seems to be right\nWhen I'm home\nFeeling you holding me tight\nTight, yeah!\n\nIt's been a hard day's night\nAnd I've been workin' like a dog\nIt's been a hard day's night\nI should be sleepin' like a log\n\nBut when I get home to you\nI find the things that you do\nYou make me feel alright\nAow!\n\nSo why on Earth should I moan?\n'Cause when I get you alone\nYou know I feel okay\n\nWhen I'm home\nEverything seems to be right\nWhen I'm home\nFeeling you holding me tight\nTight, yeah!\n\nIt's been a hard day's night\nAnd I've been workin' like a dog\nIt's been a hard day's night\nI should be sleepin' like a log\n\nBut when I get home to you\nI find the things that you do\nYou make me feel alright\n\nYou know I feel alright\nYou know I feel alright	<p><img src="/documents/2hpXtK" /></p><p>It's been a hard day's night<br />And I've been workin' like a dog<br />It's been a hard day's night<br />I should be sleepin' like a log</p><p>But when I get home to you<br />I find the things that you do<br />You make me feel alright</p><p>You know I work all day<br />To get your money to buy your things<br />And it's worth it just to hear you say<br />You're gonna give me everything</p><p>So why on Earth should I moan?<br />'Cause when I get you alone<br />You know I feel okay</p><p>When I'm home<br />Everything seems to be right<br />When I'm home<br />Feeling you holding me tight<br />Tight, yeah!</p><p>It's been a hard day's night<br />And I've been workin' like a dog<br />It's been a hard day's night<br />I should be sleepin' like a log</p><p>But when I get home to you<br />I find the things that you do<br />You make me feel alright<br />Aow!</p><p>So why on Earth should I moan?<br />'Cause when I get you alone<br />You know I feel okay</p><p>When I'm home<br />Everything seems to be right<br />When I'm home<br />Feeling you holding me tight<br />Tight, yeah!</p><p>It's been a hard day's night<br />And I've been workin' like a dog<br />It's been a hard day's night<br />I should be sleepin' like a log</p><p>But when I get home to you<br />I find the things that you do<br />You make me feel alright</p><p>You know I feel alright<br />You know I feel alright</p>						Si	2025-08-07 12:17:09
A quién le importa	Alaska y Dinarama / Fangoria			Disco/Funk	Em			132	4:14						:: Posible Groove con Cencerro\nLa gente me señala\nMe apuntan con el dedo\nSusurra a mis espaldas\nY a mí me importa un bledo\n\nQue más me da\nSi soy distinta a ellos\nNo soy de nadie\nNo tengo dueño\n\nYo sé que me critican\nMe consta que me odian\nLa envidia les corroe\nMi vida les agobia\n¿Por qué será?\nYo no tengo la culpa\nMi circunstancia les insulta\n\nMi destino es el que yo decido\nEl que yo elijo para mi\n\n¿A quién le importa lo que yo haga?\n¿A quién le importa lo que yo diga?\nYo soy así, y así seguiré, nunca cambiaré\n¿A quién le importa lo que yo haga?\n¿A quién le importa lo que yo diga?\nYo soy así, y así seguiré, nunca cambiaré\nSOLO\nQuizá la culpa es mía\nPor no seguir la norma\nYa es demasiado tarde\nPara cambiar ahora\nMe mantendré\nFirme en mis convicciones\nReforzaré mis posiciones\n\nMi destino es el que yo decido\nEl que yo elijo para mi\n\n¿A quién le importa lo que yo haga?\n¿A quién le importa lo que yo diga?\nYo soy así, y así seguiré, nunca cambiaré\n¿A quién le importa lo que yo haga?\n¿A quién le importa lo que yo diga?\nYo soy así, y así seguiré, nunca cambiaré\nSOLO\n¿A quién le importa lo que yo haga?\n¿A quién le importa lo que yo diga?\nYo soy así, y así seguiré, nunca cambiaré\nA quién le importa lo que yo haga?\n¿A quién le importa lo que yo diga?\nYo soy así, y así seguiré, nunca cambiaré	<p><span style="color: #F68B27;">:: Posible Groove con Cencerro</span><br />La gente me señala<br />Me apuntan con el dedo<br />Susurra a mis espaldas<br />Y a mí me importa un bledo</p><p>Que más me da<br />Si soy distinta a ellos<br />No soy de nadie<br />No tengo dueño</p><p>Yo sé que me critican<br />Me consta que me odian<br />La envidia les corroe<br />Mi vida les agobia<br />¿Por qué será?<br />Yo no tengo la culpa<br />Mi circunstancia les insulta</p><p>Mi destino es el que yo decido<br />El que yo elijo para mi</p><p><span style="color: #51D43E;">¿A quién le importa lo que yo haga?</span><br /><span style="color: #51D43E;">¿A quién le importa lo que yo diga?</span><br /><span style="color: #51D43E;">Yo soy así, y así seguiré, nunca cambiaré</span><br /><span style="color: #51D43E;">¿A quién le importa lo que yo haga?</span><br /><span style="color: #51D43E;">¿A quién le importa lo que yo diga?</span><br /><span style="color: #51D43E;">Yo soy así, y así seguiré, nunca cambiaré</span><br /><span style="color: #F68B27;">SOLO</span><br /><span style="color: #F0BE03;">Quizá la culpa es mía</span><br /><span style="color: #F0BE03;">Por no seguir la norma</span><br /><span style="color: #F0BE03;">Ya es demasiado tarde</span><br /><span style="color: #F0BE03;">Para cambiar ahora</span><br /><span style="color: #F0BE03;">Me mantendré</span><br /><span style="color: #F0BE03;">Firme en mis convicciones</span><br /><span style="color: #F0BE03;">Reforzaré mis posiciones</span></p><p>Mi destino es el que yo decido<br />El que yo elijo para mi</p><p><span style="color: #51D43E;">¿A quién le importa lo que yo haga?</span><br /><span style="color: #51D43E;">¿A quién le importa lo que yo diga?</span><br /><span style="color: #51D43E;">Yo soy así, y así seguiré, nunca cambiaré</span><br /><span style="color: #51D43E;">¿A quién le importa lo que yo haga?</span><br /><span style="color: #51D43E;">¿A quién le importa lo que yo diga?</span><br /><span style="color: #51D43E;">Yo soy así, y así seguiré, nunca cambiaré</span><br /><span style="color: #F68B27;">SOLO</span><br /><span style="color: #51D43E;">¿A quién le importa lo que yo haga?</span><br /><span style="color: #51D43E;">¿A quién le importa lo que yo diga?</span><br /><span style="color: #51D43E;">Yo soy así, y así seguiré, nunca cambiaré</span><br /><span style="color: #51D43E;">A quién le importa lo que yo haga?</span><br /><span style="color: #51D43E;">¿A quién le importa lo que yo diga?</span><br /><span style="color: #51D43E;">Yo soy así, y así seguiré, nunca cambiaré</span></p>			S - ENTRAMOS TODOS JUNTOS\nCon batería ritmo disco,  Tango Rumba en cajon.	<p>S - ENTRAMOS TODOS JUNTOS<br />Con batería ritmo disco, <span style="color: #F68B27;"> </span>Tango Rumba en cajon.</p>	2024-11-01	Si	2024-06-02 09:51:44
ACROSS THE UNIVERSE															Words are flowing out like endless rain into a paper cup\nThey slither wildly as they slip away across the universe\nPools of sorrow, waves of joy are drifting through my opened mind\nPossessing and caressing me\n\nJai Guru Deva, Om\nNothing's gonna change my world\nNothing's gonna change my world\nNothing's gonna change my world\nNothing's gonna change my world\n\nImages of broken light which dance before me like a million eyes\nThey call me on and on across the universe\nThoughts meander like a restless wind inside a letter box\nThey tumble blindly as they make their way across the universe\n\nJai Guru Deva, Om\nNothing's gonna change my world\nNothing's gonna change my world\nNothing's gonna change my world\nNothing's gonna change my world\n\nSounds of laughter, shades of life are ringing through my open ears\nInciting and inviting me\nLimitless undying love which shines around me like a million suns\nIt calls me on and on across the universe\n\nJai Guru Deva, Om\nNothing's gonna change my world\nNothing's gonna change my world\nNothing's gonna change my world\nNothing's gonna change my world\n\nJai Guru Deva\nJai Guru Deva\nJai Guru Deva\nJai Guru Deva\nJai Guru Deva\nJai Guru Deva	<p>Words are flowing out like endless rain into a paper cup<br />They slither wildly as they slip away across the universe<br />Pools of sorrow, waves of joy are drifting through my opened mind<br />Possessing and caressing me</p><p>Jai Guru Deva, Om<br />Nothing's gonna change my world<br />Nothing's gonna change my world<br />Nothing's gonna change my world<br />Nothing's gonna change my world</p><p>Images of broken light which dance before me like a million eyes<br />They call me on and on across the universe<br />Thoughts meander like a restless wind inside a letter box<br />They tumble blindly as they make their way across the universe</p><p>Jai Guru Deva, Om<br />Nothing's gonna change my world<br />Nothing's gonna change my world<br />Nothing's gonna change my world<br />Nothing's gonna change my world</p><p>Sounds of laughter, shades of life are ringing through my open ears<br />Inciting and inviting me<br />Limitless undying love which shines around me like a million suns<br />It calls me on and on across the universe</p><p>Jai Guru Deva, Om<br />Nothing's gonna change my world<br />Nothing's gonna change my world<br />Nothing's gonna change my world<br />Nothing's gonna change my world</p><p>Jai Guru Deva<br />Jai Guru Deva<br />Jai Guru Deva<br />Jai Guru Deva<br />Jai Guru Deva<br />Jai Guru Deva</p>						Si	2025-09-01 19:59:15
Addicted to Love	Robert Palmer							110	5:50						B C con Charles a negras con apertura en 1	<p>B C con Charles a negras con apertura en 1</p>						Si	2025-08-07 12:01:07
Adios papá	Los Ronaldos	Azul Oscuro						136	4:00						Esta noche voy a cogerte bien\nnos iremos a casa de tu papá\nllamaré a la puerta, nos esconderemos\ntiraremos piedras para no quedar bien\n\nY cuando piensen quién ha sido le diremos que no,\nno han sido tus amigos, allí nadie quedó.\nya no sabes qué hacer\n\nAdiós papá, adiós papá,\nconsíguenos un poco de dinero más (x2)\nmás dinero\n\nContarás las noches largas como serpientes\ndormiras debajo de la cama otra vez\ny todo el mundo escucha lo que les vas a decir\npara decirte que está mal, para decirte no está bien\nya no sabes qué hacer\n\n(x2)\nAdiós papá, adiós papá,\nconsíguenos un poco de dinero más (x2)\nmás dinero\n\nEsta noche voy a cogerte bien\nnos iremos a casa de tu papá\nllamaré a la puerta, nos esconderemos\ntiraremos piedras para no quedar bien\n\nY cuando piensen quién ha sido le diremos que no\nno han sido tus amigos, allí nadie quedó\nya no sabes qué hacer\n\nAdiós papá, adiós papá,\nconsíguenos un poco de dinero más (x2)\nmás dinero	<p>Esta noche voy a cogerte bien<br />nos iremos a casa de tu papá<br />llamaré a la puerta, nos esconderemos<br />tiraremos piedras para no quedar bien</p><p>Y cuando piensen quién ha sido le diremos que no,<br />no han sido tus amigos, allí nadie quedó.<br />ya no sabes qué hacer</p><p>Adiós papá, adiós papá,<br />consíguenos un poco de dinero más (x2)<br />más dinero</p><p>Contarás las noches largas como serpientes<br />dormiras debajo de la cama otra vez<br />y todo el mundo escucha lo que les vas a decir<br />para decirte que está mal, para decirte no está bien<br />ya no sabes qué hacer</p><p>(x2)<br />Adiós papá, adiós papá,<br />consíguenos un poco de dinero más (x2)<br />más dinero</p><p>Esta noche voy a cogerte bien<br />nos iremos a casa de tu papá<br />llamaré a la puerta, nos esconderemos<br />tiraremos piedras para no quedar bien</p><p>Y cuando piensen quién ha sido le diremos que no<br />no han sido tus amigos, allí nadie quedó<br />ya no sabes qué hacer</p><p>Adiós papá, adiós papá,<br />consíguenos un poco de dinero más (x2)<br />más dinero</p>						Si	2024-06-02 10:03:00
Ain't no Sunshine	Bill Withers								2:05													Si	2025-08-07 13:28:35
ALL MY LOVING															Close your eyes and I'll kiss you\nTomorrow I'll miss you\nRemember I'll always be true\nAnd then while I'm away\nI'll write home everyday\nAnd I'll send all my loving to you\n\nI'll pretend that I'm kissing\nThe lips I am missing\nAnd hope that my dreams will come true\nAnd then while I'm away\nI'll write home everyday\nAnd I'll send all my loving to you\n\nAll my loving, I will send to you\nAll my loving, darling, I'll be true\n\nClose your eyes and I'll kiss you\nTomorrow I'll miss you\nRemember I'll always be true\nAnd then while I'm away\nI'll write home everyday\nAnd I'll send all my loving to you\n\nAll my loving, I will send to you\nAll my loving, darling, I'll be true\nAll my loving, all my loving\nAll my loving, I will send to you	<p>Close your eyes and I'll kiss you<br />Tomorrow I'll miss you<br />Remember I'll always be true<br />And then while I'm away<br />I'll write home everyday<br />And I'll send all my loving to you</p><p>I'll pretend that I'm kissing<br />The lips I am missing<br />And hope that my dreams will come true<br />And then while I'm away<br />I'll write home everyday<br />And I'll send all my loving to you</p><p>All my loving, I will send to you<br />All my loving, darling, I'll be true</p><p>Close your eyes and I'll kiss you<br />Tomorrow I'll miss you<br />Remember I'll always be true<br />And then while I'm away<br />I'll write home everyday<br />And I'll send all my loving to you</p><p>All my loving, I will send to you<br />All my loving, darling, I'll be true<br />All my loving, all my loving<br />All my loving, I will send to you</p>						Si	2025-09-01 19:52:07
ALL YOU NEED IS LOVE																Love, love, love\nLove, love, love\nLove, love, love\n\n(Love) there's nothing you can do that can't be done\n(Love) nothing you can sing that can't be sung\n(Love) nothing you can say, but you can learn\nHow the play the game\nIt's easy\n\n(Love) there's nothing you can make that can't be made\n(Love) no one you can save that can't be saved\n(Love) nothing you can do, but you can learn\nHow to be you in time\nIt's easy\n\nAll you need is love\nAll you need is love\nAll you need is love, love\nLove is all you need\n\nLove, love, love\nLove, love, love\nLove, love, love\n\nAll you need is love\nAll you need is love\nAll you need is love, love\nLove is all you need\n\n(Love) there's nothing you can know that isn't known\n(Love) nothing you can see that isn't shown\n(Love) nowhere you can be\nThat isn't where you're meant to be\nIt's easy\n\nAll you need is love\nAll you need is love\nAll you need is love, love\nLove is all you need\n\nAll you need is love\n(All together, now!)\nAll you need is love\n(Everybody)\nAll you need is love, love\nLove is all you need\n(Love is all you need)\n\nLove is all you need\n(Love is all you need)\nLove is all you need\n(Love is all you need)\n\nLove is all you need\n(Love is all you need)\nLove is all you need\n(Love is all you need)\n\n(She loves you, yeah, yeah, yeah!)\n(Love is all you need)	<p>Love, love, love<br />Love, love, love<br />Love, love, love</p><p>(Love) there's nothing you can do that can't be done<br />(Love) nothing you can sing that can't be sung<br />(Love) nothing you can say, but you can learn<br />How the play the game<br />It's easy</p><p>(Love) there's nothing you can make that can't be made<br />(Love) no one you can save that can't be saved<br />(Love) nothing you can do, but you can learn<br />How to be you in time<br />It's easy</p><p>All you need is love<br />All you need is love<br />All you need is love, love<br />Love is all you need</p><p>Love, love, love<br />Love, love, love<br />Love, love, love</p><p>All you need is love<br />All you need is love<br />All you need is love, love<br />Love is all you need</p><p>(Love) there's nothing you can know that isn't known<br />(Love) nothing you can see that isn't shown<br />(Love) nowhere you can be<br />That isn't where you're meant to be<br />It's easy</p><p>All you need is love<br />All you need is love<br />All you need is love, love<br />Love is all you need</p><p>All you need is love<br />(All together, now!)<br />All you need is love<br />(Everybody)<br />All you need is love, love<br />Love is all you need<br />(Love is all you need)</p><p>Love is all you need<br />(Love is all you need)<br />Love is all you need<br />(Love is all you need)</p><p>Love is all you need<br />(Love is all you need)<br />Love is all you need<br />(Love is all you need)</p><p>(She loves you, yeah, yeah, yeah!)<br />(Love is all you need)</p>						Si	2025-09-01 19:45:23
